;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
AFFX-r2-Bs-dap-M_st;4,46237650948444;4,79440256340986;3,57998888798449;4,66219899071286;4,14154929549502;4,24819882375848
AFFX-r2-Bs-lys-3_st;11,4874208475837;11,5618220698523;10,0905374502192;7,3558108632007;8,480594647844;7,1287476855209
AFFX-r2-Bs-lys-5_st;10,0231117151488;10,0561797945409;6,82558308105861;5,15253855756415;5,46468347020478;5,43368607782189
AFFX-r2-Bs-lys-M_st;11,5183205823387;11,5785214905396;9,17034343924993;7,37343628859807;7,64706700746658;6,0581102323206
AFFX-r2-Bs-phe-3_st;7,76135285600856;7,6488657847748;5,5037002703513;4,55249164457711;4,48077225324392;4,53398487588196
AFFX-r2-Bs-phe-5_st;7,02154374122834;7,06490900155407;3,59288024212227;5,84953451558118;4,25377771872568;4,85944301026774
AFFX-r2-Bs-phe-M_st;6,65954468321529;6,89856276934481;4,08737365642366;4,67248447679801;3,48877135469407;4,4542339875239
AFFX-r2-Bs-thr-3_s_st;4,69578038899339;4,39896606296261;4,72472608696429;6,31939619115525;5,07394430229322;5,32256217985025
AFFX-r2-Bs-thr-5_s_st;3,83720121404649;2,8605165507802;4,42082432861771;5,47756392719184;3,94042197139464;5,25530071171056
AFFX-r2-Bs-thr-M_s_st;3,72104874469931;4,49365198080798;4,36011302117928;5,28699489939896;5,31581938438427;5,85308921933428
AFFX-r2-Ec-bioB-3_at;8,3863356610901;8,39318351414717;10,0531215759317;11,2799625719975;10,7969337151145;10,7864339839415
AFFX-r2-Ec-bioB-5_at;8,79485325390336;8,69368231665343;10,2549789406429;11,5875090150799;10,9643151799099;10,9953640706614
AFFX-r2-Ec-bioB-M_at;8,78965230716613;8,77479854578651;10,3670323076459;11,5629553734718;11,0189733250963;11,2174138978351
AFFX-r2-Ec-bioC-3_at;10,1622273238049;10,1087587788007;11,6186880222343;12,4278310478107;12,1986608352861;12,0037373598559
AFFX-r2-Ec-bioC-5_at;10,0283385083976;10,0018648470611;11,612156386237;12,4343415796318;12,1955153805297;11,9862158070691
AFFX-r2-Ec-bioD-3_at;11,8265275867794;11,8464415930668;13,0506696930374;13,5701111861485;13,2831659851348;13,3940916788757
AFFX-r2-Ec-bioD-5_at;11,5476109775759;11,6962159630265;12,9517464095306;13,5000248772229;13,1860740446066;13,1687896571599
AFFX-r2-P1-cre-3_at;13,1110057213799;13,0361464588198;13,9324362336004;14,0143082815901;13,9324362336004;13,9738949130382
AFFX-r2-P1-cre-5_at;13,0143674877515;13,0178664301436;13,9557962497688;14,0378809579652;13,9715715102465;14,0328149128669
ERCCmix1step1;4,16033536137163;4,33090172454027;4,64570790424743;5,78599137118466;5,25807851779611;5,86803761151033
ERCCmix1step10;5,98621832146614;6,12682933865738;4,99172683562249;6,05146475735648;4,95969115466051;5,45494366860436
ERCCmix1step11;6,96351564037976;7,15527817378796;5,84167396747093;5,84313298951437;5,81531217668482;5,81690079678577
ERCCmix1step12;6,80861747514356;6,76118420151401;4,89999358947305;4,77299694787687;3,98192234773464;4,67466664363342
ERCCmix1step13;7,97791641441628;7,78635388153491;5,88383715035989;5,50489265186523;5,03486703764248;4,38948337713478
ERCCmix1step14;8,2957957930028;8,35164776234907;6,27608556362958;5,95473527326666;5,57491655304527;5,49295548050623
ERCCmix1step15;9,36505250547661;9,36260951988415;7,31692347344325;7,01343292956552;6,15081133654742;6,43785915742386
ERCCmix1step16;10,4208589143395;10,4527689495421;8,46295337243312;6,53793470795869;6,87874361733691;6,12623869934136
ERCCmix1step17;10,9859484535679;10,9917462431192;8,5875384732186;6,75345087016838;6,77533563504472;6,43326823728095
ERCCmix1step18;11,8696723532285;11,8849539398325;9,72351441843457;6,70677340279047;8,25466907986409;7,17093802756943
ERCCmix1step19;12,7776862034854;12,7636722511028;11,8275818049225;9,75649378151375;10,3530327264717;9,8630694115049
ERCCmix1step2;5,76353856445844;5,50403621047465;6,31645358404199;6,98568162900259;6,37644805804428;6,17127022472157
ERCCmix1step20;13,209696163432;13,1949340234873;12,6798304395778;11,5215331070404;11,1806025033072;11,0780406774969
ERCCmix1step21;13,7869388808365;13,9018562501385;12,8751180865223;10,7892510240586;11,7962821295895;10,8844683835802
ERCCmix1step22;13,6302686844764;13,6286583208144;12,8127805632738;10,8588684724363;11,7976761789818;10,8778564058883
ERCCmix1step3;4,49563598114123;4,11949053899992;4,92952813887276;5,77354048648001;5,12999659507563;6,5183008807029
ERCCmix1step4;4,21671716824302;4,2903054363194;4,65748381853045;5,99043207980502;4,62578148932159;5,28970629808083
